evidence_layer,data_role,arm,seed,n_images,PFFD10_train_scaled,FID_InceptionV3_Mixed6e_768,KID_InceptionV3_Mixed6e_768,radial_log_power_l1_mean,laplacian_variance_absolute_difference_mean,centroid_distance_to_inherited_bbox_center_mean,bright_bbox_width_absolute_error_mean,bright_bbox_height_absolute_error_mean,memorization_screen_flag_count,memorization_screen_flag_rate,exact_train_or_flip_count,feature_min_mean,nearest_reference_ssim_max,phash_minimum,source_array_sha256,test_payload_accessed
N2_NEW_STUDY,validation,ND,61001,1024,6114.697021404438,5.450677239582352,0.01955379483491715,4.878500391009945,5.887270954339306,0.11204792024056323,0.2808380126953125,0.27974527994791665,0,0.0,0,0.4393151528266413,0.41824565930506175,2,0410bb5ca362da45ce926da38d15a2eee2f2be5a6698ff64a1c38b6ed025489f,False
N2_NEW_STUDY,validation,ND,61002,1024,752.7827537179561,6.3964198244502075,0.023676521809490758,4.365205126101551,5.8073082827522295,0.1123845967149117,0.11010416666666667,0.11193684895833335,0,0.0,0,0.5211495228251943,0.03578154433859614,7,5a62d9b5a0e1f889a7f195ecffb39d7c0db88ade95340735c6b3193d715d7f5e,False
N2_NEW_STUDY,validation,ND,61003,1024,428.9686069145179,6.226946167694583,0.02346925185333415,5.185754695305135,8.423674485532107,0.11263605789536428,0.11010416666666667,0.11193684895833335,0,0.0,0,0.5615517222284652,0.014582486299204027,8,5b1b9010a99f622178a146b4f94119158ea03f19913e8599098af3632b6584fc,False
N2_NEW_STUDY,validation,ND,61004,1024,876.1002073259275,6.296195168259633,0.023175905399438257,4.278547138521548,3.970786748212382,0.11576182633964988,0.11087890625,0.11274414062500002,0,0.0,0,0.5079684711056749,0.04568029726666243,10,31fe179df4b3315bd51823592e341fc8cf2859e03080e0756e9997044db19220,False
N2_NEW_STUDY,validation,ND,61005,1024,11428.464124517832,4.836959138785582,0.017026118314448446,3.7341288444777083,2.8626895205448344,0.11930780521526788,0.66069580078125,0.6636116536458334,0,0.0,0,0.2589052878723495,0.8427864607594083,3,ed86d1b4686db519edd1fbcbfe4b5ea726a1704b84350ff560f6dbc4c3510e5c,False
N2_NEW_STUDY,validation,ND,61006,1024,7730.552625950107,5.564228745078827,0.01987300313137874,4.804246087916259,5.601654358418574,0.1190215814949428,0.30776468912760413,0.3035280354817708,0,0.0,0,0.4372390958221162,0.6706141941126308,5,7e714c1fa44e5d595381f8019a31be861b6f18ed3ee0428498342912761a13a3,False
N2_NEW_STUDY,validation,ND,61007,1024,13831.969522781705,5.125814447452411,0.018265039299817154,4.530454485634062,5.002861083459773,0.1286279241837307,0.4432763671875,0.4454115804036458,0,0.0,0,0.3640906290658847,0.8518382226459972,2,53e03fe27b4d331fc3d66714b66446a24f8b74e58ce27337a3e3e3f1c6addabd,False
N2_NEW_STUDY,validation,ND,61008,1024,11273.97078369475,5.181523194638745,0.0193257329554406,3.548735209479173,1.4098721485040826,0.13483958347307365,0.8485329182942709,0.8476698811848958,0,0.0,0,0.18534407995377578,0.7899938405514391,1,b898137d38ef84af5bde248d9b1b730e7ae669945a67e336b1519c69f388e193,False
N2_NEW_STUDY,validation,ND,61009,1024,3421.262108344313,5.466154078631224,0.020188177032575805,5.014092141717094,7.917580857862832,0.11358865405612363,0.1495155843098958,0.15137390136718748,0,0.0,0,0.4926925019037891,0.16447639253655738,4,bb46712794daba13b1a13e3b23ba2f6afd8de4980a2aabc0a6476d80a49c5662,False
N2_NEW_STUDY,validation,ND,61010,1024,7670.959482002426,4.599503087261579,0.01694575736325543,3.13070065446658,1.15270693877308,0.1552204990176645,0.845536905924479,0.8445454915364583,0,0.0,0,0.1703538416879769,0.8141653103119662,2,f3fe671acd3a05b187cdffd25658b5298448320efc25534b5242d489a42f84e3,False
